dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: unit210-2022-274-6-0
the8x3_filename: 06620000
filename_extension: sbd
filename_label: unit210-2022-274-6-0-sbd(06620000)
mission_name: IMOSGO40.MI
fileopen_time: Sun_Oct__2_23:41:41_2022
sensors_per_cycle: 16
num_label_lines: 3
num_segments: 1
segment_filename_0: unit210-2022-274-6-0
c_ballast_pumped c_battpos c_fin c_heading c_pitch m_ballast_pumped m_battpos m_depth m_fin m_gps_lat m_gps_lon m_heading m_pitch m_present_time m_roll m_water_depth
cc in rad rad rad cc in m rad lat lon rad rad timestamp rad m
4 4 4 4 4 4 4 4 4 8 8 4 4 8 4 4
NaN NaN NaN NaN NaN NaN NaN 3.45583 NaN NaN NaN NaN NaN 1664755994.64276 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 3.73629 NaN NaN NaN NaN NaN 1664756009.64508 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 5.7618 NaN NaN NaN NaN NaN 1664756024.27042 NaN NaN
-233 0.782588 -0.110654 1.64801 -0.4538 -232.284 0.721692 8.09893 -0.100461 NaN NaN 1.82212 -0.397935 1664756038.30902 -0.0575959 NaN
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1664756047.7077 NaN 34.4185
NaN NaN NaN NaN NaN NaN NaN 10.8723 NaN NaN NaN NaN NaN 1664756052.45392 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 13.3653 NaN NaN NaN NaN NaN 1664756066.47983 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 15.8894 NaN NaN NaN NaN NaN 1664756080.50604 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 18.3823 NaN NaN NaN NaN NaN 1664756094.52808 NaN NaN
-233 0.814912 0.168642 1.64806 -0.4538 -232.596 0.721692 NaN 0.166389 NaN NaN 1.62141 -0.415388 1664756099.27234 -0.0610865 NaN
NaN NaN NaN NaN NaN NaN NaN 21.1245 NaN NaN NaN NaN NaN 1664756108.67111 NaN 34.7611
NaN NaN NaN NaN NaN NaN NaN 23.5551 NaN NaN NaN NaN NaN 1664756122.70547 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 26.6713 NaN NaN NaN NaN NaN 1664756136.73553 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 29.8498 NaN NaN NaN NaN NaN 1664756150.78131 NaN NaN
233 -0.146201 0.184367 1.64808 0.4538 -212.626 0.721692 NaN 0.191505 NaN NaN 1.4399 -0.502655 1664756160.18066 -0.0645772 NaN
NaN NaN NaN NaN NaN NaN NaN 32.966 NaN NaN NaN NaN NaN 1664756165.36877 NaN NaN
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1664756170.26804 NaN 35.3394
NaN NaN NaN NaN NaN NaN NaN 32.779 NaN NaN NaN NaN NaN 1664756179.91168 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 31.1274 NaN NaN NaN NaN NaN 1664756194.11377 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 29.4135 NaN NaN NaN NaN NaN 1664756208.13547 NaN NaN
233 -0.146201 0.00380642 1.64812 0.4538 231.398 -0.137564 27.6996 0.0282548 NaN NaN 1.85005 0.413643 1664756222.16208 -0.0418879 NaN
NaN NaN NaN NaN NaN NaN NaN 25.8611 NaN NaN NaN NaN NaN 1664756236.19778 NaN NaN
